月均利润,本港,目标,去程物品,返程物品,平均往返时间,去程利润,返程利润,本港区域,本港文化,目标区域,目标文化
23680.0,那不勒斯,"开普敦,本格拉,塞拉利昂",玻璃工艺品,钻石,2.0,22400.0,24960.0,欧洲东部,意大利,非洲西部,西非
23680.0,威尼斯,"开普敦,本格拉,塞拉利昂",玻璃工艺品,钻石,2.0,22400.0,24960.0,欧洲东部,意大利,非洲西部,西非
23680.0,拉古萨,"开普敦,本格拉,塞拉利昂",玻璃工艺品,钻石,2.0,22400.0,24960.0,欧洲东部,意大利,非洲西部,西非
23680.0,塞拉利昂,"那不勒斯,拉古萨,威尼斯",钻石,玻璃工艺品,2.0,24960.0,22400.0,非洲西部,西非,欧洲东部,意大利
23680.0,开普敦,"那不勒斯,拉古萨,威尼斯",钻石,玻璃工艺品,2.0,24960.0,22400.0,非洲西部,西非,欧洲东部,意大利
23680.0,本格拉,"那不勒斯,拉古萨,威尼斯",钻石,玻璃工艺品,2.0,24960.0,22400.0,非洲西部,西非,欧洲东部,意大利
23625.0,勃固,杭州,翡翠,青花瓷,2.0,36750.0,10500.0,东南亚,中南半岛,东亚,大明
23625.0,杭州,勃固,青花瓷,翡翠,2.0,10500.0,36750.0,东亚,大明,东南亚,中南半岛
23580.0,本格拉,马赛,钻石,天鹅绒,2.0,32760.0,14400.0,非洲西部,西非,欧洲东部,法国
23580.0,塞拉利昂,马赛,钻石,天鹅绒,2.0,32760.0,14400.0,非洲西部,西非,欧洲东部,法国
23580.0,马赛,"开普敦,本格拉,塞拉利昂",天鹅绒,钻石,2.0,14400.0,32760.0,欧洲东部,法国,非洲西部,西非
23580.0,开普敦,马赛,钻石,天鹅绒,2.0,32760.0,14400.0,非洲西部,西非,欧洲东部,法国
23575.0,圣乔治,"那不勒斯,拉古萨,威尼斯",黄金,玻璃工艺品,2.0,24750.0,22400.0,非洲西部,西非,欧洲东部,意大利
23575.0,阿比让,"那不勒斯,拉古萨,威尼斯",黄金,玻璃工艺品,2.0,24750.0,22400.0,非洲西部,西非,欧洲东部,意大利
